account_name,account_csn,account_type,account_segmentation
John Wood Group,5070245062,Global - 1 Sales Rep,Operate Strategic
GOODYEAR,5070245080,Global - 1 Sales Rep,Growth
PCL EMPLOYEES HOLDING,5070245106,Global - 1 Sales Rep,Growth
BP PLC,5070245154,Global - Multi-Rep,Operate Strategic
SIEMENS AG,5070250012,Global - 1 Sales Rep,Operate Strategic
Emerson Electric,5070250020,Global - 1 Sales Rep,Medium Growth
VEOLIA,5070250029,Global - 1 Sales Rep,Operate Strategic
BURNS & MCDONNELL,5070250033,Global - 1 Sales Rep,Growth
PARSONS CORP.,5070251078,Global - 1 Sales Rep,Medium Growth
GENERAL MOTORS CORP.,5070251103,Global - 1 Sales Rep,Medium Growth
BECHTEL GROUP,5070251120,Global - 1 Sales Rep,High Growth
JACOBS ENGINEERING,5070251121,Global - 1 Sales Rep,Medium Growth
HOK GROUP INC.,5070251122,Regional - Director Led (Non-Global),Operate
ABB LTD,5070251123,Global - 1 Sales Rep,Growth
BROWN AND CALDWELL,5070251135,Global - 1 Sales Rep,Growth
KOCH INDUSTRIES INC,5070253050,Global - 1 Sales Rep,High Growth
AECOM,5070253078,Global - 1 Sales Rep,High Growth
OVE ARUP & PARTNERS INTERNATIONAL LTD,5070253141,Global - Multi-Rep,Medium Growth
FORD MOTOR CO.,5070253170,Global - Multi-Rep,Medium Growth
SCHNEIDER ELECTRIC SA,5070253178,Global - 1 Sales Rep,Operate Strategic
BLACK & VEATCH HOLDING CO.,5070253224,Global - 1 Sales Rep,Growth
PARKER HANNIFIN CORPORATION,5070254006,Global - 1 Sales Rep,Growth
NESTLE SA,5070254054,Global - 1 Sales Rep,Medium Growth
FLUOR CORP.,5070259009,Global - 1 Sales Rep,Medium Growth
MICHAEL BAKER CORP.,5070259044,Global - 1 Sales Rep,Growth
BECTON DICKINSON AND CO.,5070259062,Global - 1 Sales Rep,Operate Strategic
Flowserve Corp,5070259150,Global - 1 Sales Rep,Operate Strategic
ROBERT BOSCH GMBH,5070259988,Global - 1 Sales Rep,Medium Growth
ARCADIS NV,5070259992,Global - Multi-Rep,High Growth
TAKE-TWO INTERACTIVE SOFTWARE,5070260088,Global - 1 Sales Rep,Operate Strategic
3M Co,5070260097,Global - 1 Sales Rep,Growth
Applied Materials,5070260099,Global - 1 Sales Rep,Growth
WALT DISNEY CO.,5070260101,Global - 1 Sales Rep,Growth
HDR INC.,5070260119,Global - 1 Sales Rep,Growth
NBBJ,5070260137,Global - 1 Sales Rep,Operate Strategic
BASF SE,5070267198,Global - 1 Sales Rep,Growth
HKS INC.,5070269006,Global - 1 Sales Rep,Operate Strategic
CUMMINS INC.,5070269119,Global - 1 Sales Rep,Growth
KONE OYJ,5070277989,Global - 1 Sales Rep,Growth
Hatch,5070284034,Global - 1 Sales Rep,Growth
VOITH FAMILIEN VERWALTUNG GMBH [GP],5070284987,Global - 1 Sales Rep,Operate Strategic
S & B ENGINEERS & CONSTRUCTORS [GP],5070290009,Global - 1 Sales Rep,Operate
SNC LAVALIN,5070291048,Global - 1 Sales Rep,Growth
BUHLER GROUP,5070299003,Global - 1 Sales Rep,Growth
VINCI SA,5070343046,Global - 1 Sales Rep,Medium Growth
WORLEY,5070352102,Global - 1 Sales Rep,Medium Growth
STANTEC INC.,5070363053,Global - 1 Sales Rep,Medium Growth
MIRVAC LTD,5070373384,Global - 1 Sales Rep,Growth
CUPERTINO ELECTRIC INC.,5080046811,Global - 1 Sales Rep,Growth
BRASFIELD & GORRIE LLC,5080195771,Global - 1 Sales Rep,Growth
GRESHAM SMITH AND PARTNERS,5080232910,Global - 1 Sales Rep,Growth
WALSH GROUP,5080257988,Global - 1 Sales Rep,Growth
BIG D CONSTRUCTION CORP.,5080269173,Global - 1 Sales Rep,Operate
STRUCTURE TONE,5080310544,Global - 1 Sales Rep,Growth
M C DEAN INC.,5080339703,Global - 1 Sales Rep,Growth
Hathaway Dinwiddie Const Co,5090069059,Global - 1 Sales Rep,Growth
SHAWMUT DESIGN & CONST,5090143977,Global - 1 Sales Rep,Operate
PERFORMANCE CONTRACTORS INC.,5090148034,Global - 1 Sales Rep,Operate
LEAR CORP.,5090199281,Global - 1 Sales Rep,Operate Strategic
AUDUBON ENGINEERING LLC [GP],5090214840,Global - 1 Sales Rep,Operate
TURNER INDUSTRIES GROUP LLC,5090233405,Global - 1 Sales Rep,Operate
MCKINSTRY CO LLC,5090324196,Global - 1 Sales Rep,Growth
THORNTON TOMASETTI INC.,5090627219,Global - 1 Sales Rep,Growth
LANGAN ENG & ENVIRN,5100040845,Global - 1 Sales Rep,Operate Strategic
SYSTRA,5100044558,Global - 1 Sales Rep,Growth
MATTEL INC,5100111705,Global - 1 Sales Rep,Operate Strategic
ENTREPRISE GENERAL LEON GROSSE,5100117865,Global - 1 Sales Rep,Growth
SUFFOLK CONSTRUCTION,5100150105,Global - 1 Sales Rep,Growth
SAAB AB,5100151300,Global - 1 Sales Rep,Operate
ORSTED SERVICES A S,5100221761,Global - 1 Sales Rep,Growth
HOLDER CONST CO.,5100222107,Global - 1 Sales Rep,Operate
WATES GROUP LTD,5100230387,Global - 1 Sales Rep,Growth
SARGENT & LUNDY [GP],5100268084,Global - 1 Sales Rep,Operate
Total SA,5100291103,Global - 1 Sales Rep,Growth
Ministero Economia e Finanza,5100315008,Global - 1 Sales Rep,Medium Growth
API GROUP INC.,5100315370,Global - 1 Sales Rep,Growth
CARDNO LTD [GP],5100323538,Global - 1 Sales Rep,Operate Strategic
DURA VERMEER [GP],5100335915,Global - 1 Sales Rep,Growth
Kinder Morgan,5100362101,Global - 1 Sales Rep,Operate Strategic
SNCF,5100379697,Global - 1 Sales Rep,Operate Strategic
NCC AB,5100425780,Global - 1 Sales Rep,Growth
NORSK HYDRO,5100493895,Global - 1 Sales Rep,Operate Strategic
Borgwarner Inc,5100631626,Global - 1 Sales Rep,Operate
Clayco,5100650169,Global - 1 Sales Rep,Growth
MAX BOGL BAUSERVICE [GP],5100693019,Global - 1 Sales Rep,Growth
SOUTHLAND INDUSTRIES,5100733374,Regional - Director Led (Non-Global),Operate
BERGELECTRIC CORP,5100740855,Global - 1 Sales Rep,Operate
Iberdrola,5100746620,Global - 1 Sales Rep,Growth
STARBUCKS CORP.,5100748789,Global - 1 Sales Rep,Operate
JGC CORP.,5101029221,Global - 1 Sales Rep,Growth
HANSEN YUNCKEN PTY LTD,5101171123,Global - 1 Sales Rep,Operate Strategic
JOHN HOLLAND GROUP,5101172973,Global - 1 Sales Rep,Growth
MOTT MACDONALD GROUP LTD,5101343246,Global - Multi-Rep,Medium Growth
SWINERTON INC.,5101397908,Global - 1 Sales Rep,Growth
EDF [GP],5101564270,Global - 1 Sales Rep,Operate
TAISEI CORP.,5101585527,Global - 1 Sales Rep,Medium Growth
CYBERAGENT INC.,5101628954,Global - 1 Sales Rep,Growth
TETRA LAVAL INTERNATIONAL SA,5101662826,Global - 1 Sales Rep,Operate Strategic
SHELL,5101662867,Global - 1 Sales Rep,Operate Strategic
SAIPEM SPA,5101664715,Global - 1 Sales Rep,Growth
BOUYGUES CONSTRUCTION,5101673820,Global - 1 Sales Rep,High Growth
DANFOSS AS,5101703396,Global - 1 Sales Rep,Growth
BILFINGER BERGER AG,5101755124,Global - 1 Sales Rep,Growth
VALERO ENERGY CORP.,5101828747,Global - 1 Sales Rep,Operate Strategic
Netflix,5101864868,Global - 1 Sales Rep,Growth
NINTENDO SOFTWARE,5102074523,Global - 1 Sales Rep,Operate Strategic
ROLLS ROYCE PLC,5102235807,Global - 1 Sales Rep,Growth
MICROSOFT CORPORATION,5102418089,Global - 1 Sales Rep,Growth
ANIMAL LOGIC PTY LTD,5102478544,Global - 1 Sales Rep,Operate
LIGHTSTORM ENTERTAINMENT,5102481489,Global - 1 Sales Rep,Operate
HILLENBRAND INC.,5102578082,Global - 1 Sales Rep,Growth
FCC,5102595213,Global - 1 Sales Rep,Growth
Bayerische Motoren Werke AG,5102619198,Global - Multi-Rep,Medium Growth
HONDA GROUP,5102619229,Regional - Multi-Rep (Non-Global),Growth
MITSUBISHI MOTORS CORP.,5102619243,Global - 1 Sales Rep,Growth
TOYOTA GROUP,5102619252,Regional - Multi-Rep (Non-Global),High Growth
VOLKSWAGEN AG,5102619273,Global - 1 Sales Rep,High Growth
ELECTRONIC ARTS,5102619291,Global - 1 Sales Rep,Growth
Activision Blizzard,5102619293,Global - 1 Sales Rep,Operate Strategic
Renault SAS,5102629257,Global - 1 Sales Rep,Growth
ENBRIDGE INC. [GP],5102671430,Global - 1 Sales Rep,Growth
SCHLUMBERGER NV,5102681545,Global - 1 Sales Rep,Growth
CARGOTEC OYJ,5103139554,Global - 1 Sales Rep,Growth
CRH PLC,5103139761,Global - 1 Sales Rep,Medium Growth
ENERGIAS DE PORTUGAL,5103139773,Global - 1 Sales Rep,Growth
KONINKLIJKE BAM GROEP NV,5103140190,Global - 1 Sales Rep,Growth
LINDE AG,5103140191,Global - 1 Sales Rep,Growth
NATIONAL OILWELL VARCO INC,5103140237,Global - 1 Sales Rep,Growth
UMDASCH AG,5103142254,Global - 1 Sales Rep,Growth
PERI GMBH,5103142431,Global - 1 Sales Rep,Operate
Permasteelisa SpA,5103142450,Global - 1 Sales Rep,Growth
BALFOUR BEATTY PLC,5103192376,Global - Multi-Rep,Medium Growth
CLARK CONST GROUP,5103200243,Global - 1 Sales Rep,Growth
CORNERSTONE BUILDING BRANDS,5103211928,Global - 1 Sales Rep,Operate
LINDNER AG,5103348623,Global - 1 Sales Rep,Operate Strategic
GOLDER ASSOCIATES,5103423137,Global - 1 Sales Rep,Growth
CAJUN INDUSTRIES LLC,5103469556,Global - 1 Sales Rep,Operate
SVEN TYRENS STIFTELSE,5103472729,Global - 1 Sales Rep,Growth
HASEKO CORP.,5103490346,Global - 1 Sales Rep,Growth
FLEXTRONICS INTERNATIONAL,5103493308,Global - 1 Sales Rep,Growth
MAEDA CORP.,5103494807,Global - 1 Sales Rep,Growth
VALMONT INDUSTRIES INC.,5103501488,Global - 1 Sales Rep,Growth
IMPLENIA AG,5103508879,Global - 1 Sales Rep,Growth
HOFFMAN CORP.,5103509449,Global - 1 Sales Rep,Operate
MARS INC.,5103518735,Global - 1 Sales Rep,Growth
FREEPORT MCMORAN INC.,5103834622,Global - 1 Sales Rep,Growth
AUSTIN INDUSTRIES,5103958786,Global - 1 Sales Rep,Growth
FAYAT,5104028453,Global - 1 Sales Rep,Operate
PEAB AB,5104066592,Global - 1 Sales Rep,Growth
STRABAG BRVZ,5104108356,Global - 1 Sales Rep,Growth
AFRY,5104114247,Global - 1 Sales Rep,Medium Growth
WHITE ARKITEKTER AB,5104138774,Global - 1 Sales Rep,Operate
VOLKER WESSELS NV,5104138853,Global - 1 Sales Rep,Medium Growth
VATTENFALL AB,5104138885,Global - 1 Sales Rep,Growth
DEUTSCHE BAHN AG [GP],5104145642,Global - 1 Sales Rep,Medium Growth
BABCOCK GROUP [GP],5104159077,Global - 1 Sales Rep,Operate Strategic
DPR CONST INC.,5104160338,Global - 1 Sales Rep,Medium Growth
LG GROUP,5104170417,Global - 1 Sales Rep,Growth
EIFFAGE,5104181226,Global - 1 Sales Rep,Medium Growth
ENEL SPA,5104181351,Global - 1 Sales Rep,Growth
SWECO CONNECT AB,5104181658,Global - 1 Sales Rep,Medium Growth
FERROVIAL SA,5104184370,Global - 1 Sales Rep,Growth
HEIJMANS NV [GP],5104184400,Global - 1 Sales Rep,Growth
SPIE SA,5104184758,Global - 1 Sales Rep,Operate
SMS GROUP GMBH,5104184781,Global - 1 Sales Rep,Operate Strategic
RAMBOLL AS,5104185329,Global - 1 Sales Rep,High Growth
ENI SPA,5104185453,Global - 1 Sales Rep,Operate
HONEYWELL INTERNATIONAL INC.,5104186759,Global - 1 Sales Rep,Medium Growth
MOTA ENGIL ENGENHARIA,5104196627,Global - 1 Sales Rep,Operate
NAVAL GROUP,5104220802,Global - 1 Sales Rep,Medium Growth
LEND LEASE CORP.,5104221970,Global - 1 Sales Rep,Growth
TATA MOTORS LTD,5104243022,Global - 1 Sales Rep,Growth
LAING O'ROURKE CORP.,5104351134,Global - Multi-Rep,Growth
SUBSEA 7 INC.,5104393149,Global - 1 Sales Rep,Growth
POPULOUS GROUP LLC,5104688576,Global - 1 Sales Rep,Operate
COWI AS,5104710027,Global - 1 Sales Rep,High Growth
DOWNER EDI LTD,5104710038,Global - 1 Sales Rep,Growth
COMCAST CORPORATION,5104748398,Global - 1 Sales Rep,Growth
ENGIE,5104756437,Global - 1 Sales Rep,Medium Growth
ARCHER DANIELS MIDLAND CO. [GP],5104756478,Global - 1 Sales Rep,Growth
APPLE INC.,5104756509,Global - 1 Sales Rep,Growth
DOVER CORPORATION,5104756551,Global - 1 Sales Rep,Growth
KOHLER CO.,5104771697,Global - 1 Sales Rep,Growth
ELI LILLY AND CO.,5104799116,Global - 1 Sales Rep,Growth
AIRBUS GROUP SE,5104841622,Global - 1 Sales Rep,Growth
GHD SERVICES PTY LTD,5104928160,Global - 1 Sales Rep,Growth
CARGILL,5105008358,Global - 1 Sales Rep,Growth
WARTSILA,5105037216,Global - 1 Sales Rep,Operate Strategic
HITACHI GROUP,5105229494,Global - Multi-Rep,Growth
CAPCOM CO. LTD,5105229738,Global - 1 Sales Rep,Operate Strategic
THE CAPITA GROUP PLC,5105278851,Global - 1 Sales Rep,Growth
PRIME FOCUS LTD,5105278969,Global - 1 Sales Rep,Operate Strategic
TOKYO ELECTRIC POWER CO.,5105278972,Global - 1 Sales Rep,Growth
SQUARE ENIX HOLDINGS,5105278973,Global - Multi-Rep,Operate Strategic
SHIMIZU,5105279033,Global - 1 Sales Rep,Medium Growth
WETA [GP],5105279036,Global - 1 Sales Rep,Operate
WOODS BAGOT PTY LTD,5105279046,Global - 1 Sales Rep,Operate Strategic
FRAMESTORE CFC,5105279050,Global - 1 Sales Rep,Growth
TECHNICOLOR SA,5105307812,Global - 1 Sales Rep,Growth
SEGA,5105337060,Global - 1 Sales Rep,Operate Strategic
RATP,5105337209,Global - 1 Sales Rep,Growth
SNCB NRCB,5105337213,Global - 1 Sales Rep,Growth
TOSHIBA CORP.,5105350967,Global - 1 Sales Rep,Growth
SEKISUI HOUSE,5105367007,Global - 1 Sales Rep,Growth
TYSON FOODS INC,5105377269,Global - 1 Sales Rep,Growth
SK GROUP,5105392714,Global - 1 Sales Rep,Growth
SAMSUNG GROUP,5105392777,Global - 1 Sales Rep,Medium Growth
KIER GROUP,5105649820,Global - 1 Sales Rep,Operate Strategic
ATP,5105735302,Global - 1 Sales Rep,Operate Strategic
TESLA MOTORS,5105763903,Global - 1 Sales Rep,Medium Growth
GILBANE INC. [GP],5105800096,Global - 1 Sales Rep,Growth
HENSEL PHELPS CONSTRUCTION CO.,5105800142,Global - 1 Sales Rep,Growth
JE DUNN,5105800191,Global - 1 Sales Rep,Operate Strategic
MCCARTHY HOLDINGS,5105800231,Global - 1 Sales Rep,Operate Strategic
M A MORTENSON CO.,5105800283,Global - 1 Sales Rep,Growth
WHITING TURNER,5105800383,Global - 1 Sales Rep,Operate
E ON AG,5105830330,Global - 1 Sales Rep,Operate
TUTOR PERINI CORP.,5105926772,Global - 1 Sales Rep,Operate Strategic
BRANDSAFWAY,5105932181,Global - 1 Sales Rep,Operate Strategic
SUNCOR ENERGY,5105942177,Global - 1 Sales Rep,Operate Strategic
NIKKEN SEKKEI LTD,5105956635,Global - 1 Sales Rep,Growth
EGIS,5105960746,Global - 1 Sales Rep,Operate Strategic
BECA CORPORATE HOLDINGS LTD,5106071318,Global - 1 Sales Rep,Operate Strategic
CANON INC.,5106076655,Global - 1 Sales Rep,Growth
SUBARU CORP.,5106076666,Global - 1 Sales Rep,Growth
PANASONIC CORP.,5106076774,Global - 1 Sales Rep,Growth
AB SKF,5106209258,Global - 1 Sales Rep,Operate
DAIKIN INDUSTRIES,5106209317,Global - Multi-Rep,Growth
GLAXOSMITHKLINE PLC,5106209323,Global - 1 Sales Rep,Operate
EQUINOR,5106217179,Global - 1 Sales Rep,Growth
SUZUKI MOTOR CORP.,5106217184,Global - 1 Sales Rep,Growth
GEELY,5106343306,Global - Multi-Rep,Medium Growth
MAZDA GROUP,5106343337,Global - 1 Sales Rep,Growth
MITSUBISHI ELECTRIC,5106343344,Global - 1 Sales Rep,Growth
MITSUBISHI HEAVY,5106343347,Global - 1 Sales Rep,Growth
NBN CO.,5106523769,Regional - Director Led (Non-Global),
AMAZON,5106942369,Global - 1 Sales Rep,High Growth
CHEVRON PHILLIPS CHEMICAL CO.,5106966136,Global - 1 Sales Rep,Operate Strategic
EXP GLOBAL INC.,5107045713,Global - 1 Sales Rep,Growth
LG ELECTRONICS,5107120134,Global - 1 Sales Rep,Growth
CHONGQING CHANGAN AUTO,5107144621,Global - 1 Sales Rep,Growth
SK ENGINEERING & CONSTRUCTION,5107184060,Global - 1 Sales Rep,Growth
SONY CORP. [GP],5107417529,Global - 1 Sales Rep,Growth
INGEROP,5107474522,Global - 1 Sales Rep,Operate
FAURECIA SYSTEMES D'ECHAPPEMENT,5107494127,Global - 1 Sales Rep,Growth
BLUESCOPE STEEL LTD,5107502630,Global - 1 Sales Rep,Growth
GRUPO ENTRECANALES,5107782879,Global - 1 Sales Rep,Growth
BUILDING DESIGN PARTNERSHIP,5107783131,Global - 1 Sales Rep,Growth
TAKENAKA CORP.,5107787169,Global - 1 Sales Rep,Medium Growth
OBAYASHI CORP.,5107787212,Regional - Multi-Rep (Non-Global),Medium Growth
KAJIMA CORP.,5107787231,Global - 1 Sales Rep,Medium Growth
IHI CORP.,5107787251,Global - 1 Sales Rep,Operate
YIT CORP.,5107787316,Global - 1 Sales Rep,Growth
GKN PLC,5107789428,Global - 1 Sales Rep,Growth
MAHLE GMBH,5107790332,Global - 1 Sales Rep,Growth
MAIRE TECNIMONT SPA,5107790352,Global - 1 Sales Rep,Growth
MULTICONSULT AS [GP],5107790398,Global - 1 Sales Rep,Growth
NORDSTJERNAN AB,5107790457,Regional - Director Led (Non-Global),Operate
PORR GROUP,5107790481,Global - 1 Sales Rep,Growth
SACYR VALLEHEMOSO,5107790815,Global - 1 Sales Rep,Growth
UNILEVER [GP],5107790853,Global - 1 Sales Rep,Growth
ZF FRIEDRICHSHAFEN AG,5107790902,Global - 1 Sales Rep,Growth
WARNER MEDIA,5107924098,Global - 1 Sales Rep,Operate Strategic
ASTON MARTIN LAGONDA,5108210542,Global - 1 Sales Rep,Operate
METSO OUTOTEC CORP.,5108215476,Global - 1 Sales Rep,Growth
BRISTOL MYERS SQUIBB,5108261039,Global - 1 Sales Rep,Growth
CORNING,5108261103,Global - 1 Sales Rep,Operate Strategic
"RIVIAN AUTOMOTIVE, LLC",5108968721,Global - 1 Sales Rep,Medium Growth
KNAUF GIPS KG [GP],5109370111,Global - 1 Sales Rep,Growth
DAIWA HOUSE,5109514276,Global - 1 Sales Rep,High Growth
LIXIL GROUP CORP.,5109517319,Global - 1 Sales Rep,Medium Growth
NETWORK RAIL,5109517361,Global - 1 Sales Rep,Operate Strategic
YKK CORP.,5109517416,Global - 1 Sales Rep,Growth
KOITO MANUFACTURING CO. LTD,5109519931,Global - 1 Sales Rep,Operate
IMI PLC,5109521243,Global - 1 Sales Rep,Growth
KION HOLDING 1 GMBH [GP],5109521459,Global - 1 Sales Rep,Medium Growth
HYUNDAI HEAVY,5109522775,Global - 1 Sales Rep,Growth
KONAMI CORP.,5109523327,Global - 1 Sales Rep,Operate Strategic
YAZAKI CORP.,5109523945,Global - 1 Sales Rep,Operate Strategic
INFINEON TECHNOLOGIES,5109523983,Global - 1 Sales Rep,Growth
CONTINENTAL AG,5109524544,Global - 1 Sales Rep,Growth
ATON GMBH,5109525038,Global - 1 Sales Rep,Operate Strategic
SECOM CO. LTD,5109525481,Global - 1 Sales Rep,Operate Strategic
SAMSUNG C&T CORP.,5109526312,Global - 1 Sales Rep,Medium Growth
ISUZU MOTORS LTD,5109538192,Global - 1 Sales Rep,Operate
ZIMMER BIOMET,5109540060,Global - 1 Sales Rep,Operate
HYUNDAI MOTOR,5109541691,Global - Multi-Rep,Medium Growth
HYUNDAI E&C,5109549316,Global - 1 Sales Rep,Medium Growth
SUEZ,5109549553,Global - 1 Sales Rep,Operate
TY LIN,5109551606,Global - 1 Sales Rep,Growth
SETEC CONSULTANTS,5109554745,Global - 1 Sales Rep,Growth
ELLISDON HOLDINGS INC.,5109560549,Global - 1 Sales Rep,Growth
SENER INGENIERIA Y SISTEMAS,5109560703,Global - 1 Sales Rep,Growth
FINANCIERE SPIE BATIGNOLLES,5109561839,Global - 1 Sales Rep,Operate
INFRABEL SA,5109567705,Global - 1 Sales Rep,Growth
SCHAEFFLER GMBH,5109571152,Global - 1 Sales Rep,Operate
BROOKFIELD MULTIPLEX [GP],5109579697,Global - 1 Sales Rep,Growth
STICHTING TBI,5109582897,Global - 1 Sales Rep,Growth
IDOM SA,5109583892,Global - 1 Sales Rep,Growth
DEWBERRY COMPANIES LC,5109584239,Global - 1 Sales Rep,Operate
IBI GROUP PROFESSIONAL SERVICES (CANADA),5109584312,Global - 1 Sales Rep,Growth
MWH CONSTRUCTORS INC,5109589444,Global - 1 Sales Rep,Operate
GANNETT FLEMING AFFILIATES INC.,5109590750,Global - 1 Sales Rep,Growth
CLARK RICHARDSON AND BISKUP,5109596252,Global - 1 Sales Rep,Medium Growth
IGO IMMOBILIENGESELLSCHAFT,5109606063,Global - 1 Sales Rep,Operate
ORTWIN GOLDBECK HOLDING SE,5109611919,Global - 1 Sales Rep,Medium Growth
ZACHRY HOLDINGS INC,5109620035,Global - 1 Sales Rep,Operate
YATES COMPANIES [GP],5109629252,Global - 1 Sales Rep,Operate Strategic
FRITZ SCHAEFER GMBH & CO. KG [GP],5109630612,Global - 1 Sales Rep,Operate Strategic
ARTELIA BATIMENT & INDUSTRIE,5110004055,Global - 1 Sales Rep,Growth
SONY COMPUTER ENTERTAINMENT,5110071002,Global - 1 Sales Rep,Operate Strategic
BVN ARCHITECTURE PTY LTD,5110218046,Global - 1 Sales Rep,Operate Strategic
MLIT,5110237293,Global - 1 Sales Rep,Growth
FUJITEC CO. LTD,5110237498,Global - 1 Sales Rep,Growth
HIRATA CORPORATION,5110237522,Global - 1 Sales Rep,Growth
FUJITSU LTD,5110237561,Global - 1 Sales Rep,Operate
KOBE STEEL LTD [GP],5110237622,Global - 1 Sales Rep,Operate
KOMATSU LTD,5110237633,Global - 1 Sales Rep,Growth
SUMITOMO ELECTRIC INDUSTRIES,5110237697,Global - 1 Sales Rep,Operate Strategic
KAWASAKI HEAVY INDUSTRIES,5110241957,Global - 1 Sales Rep,Medium Growth
NIHON SEKKEI INC.,5110268711,Global - 1 Sales Rep,Growth
NIPPON TELEGRAPH AND TELEPHONE,5110268723,Global - 1 Sales Rep,High Growth
ASAHI KASEI CORP.,5110268743,Global - 1 Sales Rep,Growth
DAIFUKU CO. LTD,5110268781,Global - 1 Sales Rep,Medium Growth
HANWHA CORP.,5110268829,Global - 1 Sales Rep,Growth
NEC CORP.,5110268921,Global - 1 Sales Rep,Operate
YAMAHA MOTOR CO. LTD [GP],5110269127,Global - 1 Sales Rep,Operate
GS ENGINEERING & CONSTRUCTION,5110269143,Global - 1 Sales Rep,Growth
HEERIM ARCHITECTS & PLANNERS,5110269152,Regional - Director Led (Non-Global),Growth
GENERAL ELECTRIC,5110289130,Global - 1 Sales Rep,Medium Growth
COMFORT SYSTEMS,5110328791,Global - 1 Sales Rep,Growth
HASSELL LTD,5110338881,Global - 1 Sales Rep,Operate Strategic
PHILLIPS 66 CO,5110987485,Global - 1 Sales Rep,Operate Strategic
LOCAL MOTORS,5112511242,Global - 1 Sales Rep,Operate Strategic
UBISOFT ENTERTAINMENT,5112674350,Global - 1 Sales Rep,Growth
SAMSUNG ENGINEERING,5112679107,Global - 1 Sales Rep,Growth
MARELLI CORP.,5112783160,Regional - Multi-Rep (Non-Global),Operate
KANDENKO,5112784131,Global - 1 Sales Rep,Operate
NIPPON STEEL CORP.,5112923277,Global - 1 Sales Rep,Operate
AURECON GROUP PL,5113409845,Global - 1 Sales Rep,Growth
BAKER HUGHES,5113439353,Global - 1 Sales Rep,Operate Strategic
OCCIDENTAL PETROLEUM CORP.,5113461342,Global - 1 Sales Rep,Operate Strategic
GLENCORE PLC,5114801049,Global - 1 Sales Rep,Growth
